Date,dollar,vix,STLFSI4,vxy_g7,vxy_em,gepu
2006-01-01,100.0,12.949999809265137,-0.9183,8.74,9.09,70.52274860163142
2006-02-01,100.2112,12.34000015258789,-1.0344,8.34,8.82,58.94786492964828
2006-03-01,100.4281,11.390000343322754,-1.0326,8.41,8.91,58.25875775921993
2006-04-01,99.7435,11.59000015258789,-1.0279,8.64,9.04,71.35189610192259
2006-05-01,97.5118,16.440000534057617,-0.9744,9.58,11.61,63.048925396226345
2006-06-01,98.6927,13.079999923706055,-0.8228,8.61,10.64,72.2382294714646
2006-07-01,98.4387,14.949999809265137,-0.8745,8.41,9.11,69.32771057749316
2006-08-01,97.7138,12.3100004196167,-0.9589,8.2,8.87,60.12461270391819
2006-09-01,97.9814,11.979999542236328,-0.8882,6.93,8.47,58.18934352720282
2006-10-01,98.3157,11.100000381469727,-0.9611,6.47,7.49,61.06836574420236
2006-11-01,97.5133,10.90999984741211,-0.958,7.36,7.8,58.2593072502782
2006-12-01,96.7951,11.5600004196167,-0.921,6.76,7.38,57.41511922669259
2007-01-01,97.8338,10.420000076293945,-1.0248,6.81,6.96,64.46652923998974
2007-02-01,97.4764,15.420000076293945,-1.1077,6.67,7.29,54.74300616632254
2007-03-01,97.0118,14.640000343322754,-0.8601,7.05,6.94,64.72710807948098
2007-04-01,95.6322,14.220000267028809,-1.0067,6.48,6.41,60.55719756919328
2007-05-01,94.7225,13.050000190734863,-0.9459,5.95,6.64,57.153401744199
2007-06-01,94.4449,16.229999542236328,-0.7375,6.01,6.78,56.368568178793666
2007-07-01,93.2059,23.520000457763672,-0.5754,7.17,6.99,47.588486288361146
2007-08-01,93.7603,23.3799991607666,0.7301,8.87,8.07,78.34784311669759
2007-09-01,92.4366,18.0,1.1198,8.03,7.46,99.7664252558335
2007-10-01,90.4002,18.530000686645508,0.6282,8.24,8.18,79.31186435922831
2007-11-01,89.053,22.8700008392334,1.3578,9.81,9.09,82.9155522032911
2007-12-01,90.005,22.5,1.7516,10.03,8.39,96.76560774345415
2008-01-01,89.3971,26.200000762939453,1.3769,10.32,9.04,134.64482218286452
2008-02-01,88.6434,26.540000915527344,1.2746,10.95,9.28,99.4145940800045
2008-03-01,86.8399,25.610000610351562,2.1401,12.49,10.45,119.60275977856372
2008-04-01,86.5475,20.790000915527344,1.8121,10.89,9.62,91.66161896115814
2008-05-01,86.8245,17.829999923706055,1.1159,9.96,10.04,78.03404971021448
2008-06-01,87.0728,23.950000762939453,1.3973,10.28,9.37,87.02071734832482
2008-07-01,86.4538,22.940000534057617,1.652,9.44,8.84,96.36275379213401
2008-08-01,88.945,20.649999618530273,1.617,10.33,9.51,90.2485006521332
2008-09-01,91.2651,39.38999938964844,3.1347,14.48,14.33,162.48055542344935
2008-10-01,98.04,59.88999938964844,8.4795,23.03,25.53,208.55935525706138
2008-11-01,100.7667,55.279998779296875,6.71,19.69,25.86,143.5350557937066
2008-12-01,99.6622,40.0,6.0797,20.04,25.43,144.60486321999096
2009-01-01,100.3521,44.84000015258789,4.1802,19.9,22.64,145.30676023297832
2009-02-01,102.9737,46.349998474121094,3.8896,17.65,21.12,147.44491738946704
2009-03-01,103.4397,44.13999938964844,3.8288,17.22,19.34,132.28776741479626
2009-04-01,100.7162,36.5,2.8211,13.96,17.75,102.29239178025952
