series,form_tested,adf_statistic,p_value,used_lag,n_obs,stationary_5pct,decision
dollar,level,-0.9729747986385465,0.7629930837015737,2,237,-2.8738137461081323,Non-stationary
vix,level,-5.31832360089254,5.016849449582672e-06,0,239,-2.8737103617125186,Stationary
STLFSI4,level,-3.875524944818801,0.002222538577861203,0,239,-2.8737103617125186,Stationary
vxy_g7,level,-3.299867177785864,0.014884412693016437,0,239,-2.8737103617125186,Stationary
vxy_em,level,-4.104138978565685,0.0009533793225564197,1,238,-2.873761835239286,Stationary
gepu,level,-1.8154762910650233,0.3728056643716208,3,235,-2.873918902362675,Non-stationary
dollar_log_return,transformed,-9.434221728969158,5.093460602733162e-16,1,237,-2.8738137461081323,Stationary
vix_diff,transformed,-8.967592983662847,7.911752081476446e-15,5,233,-2.8740258764297293,Stationary
STLFSI4_diff,transformed,-12.177860788504866,1.3730148607340708e-22,1,237,-2.8738137461081323,Stationary
vxy_g7_diff,transformed,-16.90896816658012,1.0141269748262862e-29,0,238,-2.873761835239286,Stationary
vxy_em_diff,transformed,-13.683643659939989,1.3854654761014099e-25,0,238,-2.873761835239286,Stationary
gepu_diff,transformed,-8.961810463742227,8.1860013156868e-15,4,233,-2.8740258764297293,Stationary
