subperiod,model_name,dependent_variable,explanatory_variables,coefficient_main_proxy,p_value_main_proxy,added_proxy,coefficient_added_proxy,p_value_added_proxy,r_squared,adjusted_r_squared,n_obs
Pre-GFC,VIX,dollar_log_return,vix_diff,-0.0012181638155272859,0.09064284567378514,,,,0.1278385285089475,0.0863070298665164,23.0
Pre-GFC,VXY-G7,dollar_log_return,vxy_g7_diff,-0.0031610334693769407,0.31965904723331917,,,,0.06228072595313694,0.017627427189000566,23.0
Pre-GFC,VXY-EM,dollar_log_return,vxy_em_diff,-0.006177291143925615,9.065934550745965e-05,,,,0.27876106094845476,0.24441634956504776,23.0
GFC,VIX,dollar_log_return,vix_diff,0.0018203276692502284,3.078387142264994e-07,,,,0.3932016915331057,0.36561995023915594,24.0
GFC,VXY-G7,dollar_log_return,vxy_g7_diff,0.004698777664945189,0.0063876944554722365,,,,0.2555165186421895,0.22167636039865268,24.0
GFC,VXY-EM,dollar_log_return,vxy_em_diff,0.0053078358734673274,7.101382981313114e-09,,,,0.4465849574656713,0.4214297282595655,24.0
Post-GFC / pre-COVID,VIX,dollar_log_return,vix_diff,0.0006507028177932449,0.0013615526896183262,,,,0.055497159710050536,0.04749289835166115,120.0
Post-GFC / pre-COVID,VXY-G7,dollar_log_return,vxy_g7_diff,0.004101882062598192,9.989357639122396e-05,,,,0.10587568790422619,0.09829836322544849,120.0
Post-GFC / pre-COVID,VXY-EM,dollar_log_return,vxy_em_diff,0.004344037832838131,1.4477293946776953e-10,,,,0.21761870394987448,0.21098835398334803,120.0
COVID period,VIX,dollar_log_return,vix_diff,0.00017998393115594495,0.3630307366316895,,,,0.01660093707890875,-0.028099020326595392,24.0
COVID period,VXY-G7,dollar_log_return,vxy_g7_diff,0.0029330855984914116,0.20669104327059884,,,,0.0639569418467898,0.021409530112552977,24.0
COVID period,VXY-EM,dollar_log_return,vxy_em_diff,0.006135031388794624,2.1100091554287287e-07,,,,0.27877799559469807,0.24599517721263897,24.0
Post-COVID / geopolitical,VIX,dollar_log_return,vix_diff,-1.695551133795367e-05,0.9658068498757032,,,,3.5717709064964076e-05,-0.02170263625378155,48.0
Post-COVID / geopolitical,VXY-G7,dollar_log_return,vxy_g7_diff,0.002152418445693684,0.22539171866232788,,,,0.020529981018075127,-0.0007628454815320485,48.0
Post-COVID / geopolitical,VXY-EM,dollar_log_return,vxy_em_diff,0.005103848294404784,0.04254400531245514,,,,0.09428147173971158,0.0745919385166618,48.0
