subperiod,model_name,dependent_variable,explanatory_variables,coefficient_main_proxy,p_value_main_proxy,added_proxy,coefficient_added_proxy,p_value_added_proxy,r_squared,adjusted_r_squared,n_obs
Pre-GFC,VIX + STLFSI4,dollar_log_return,vix_diff + STLFSI4_diff,-0.0012430656985361588,0.09766434897518077,STLFSI4_diff,0.006286964721755805,0.01748995396487141,0.1779650202807529,0.09576152230882806,23.0
Pre-GFC,VXY-G7 + STLFSI4,dollar_log_return,vxy_g7_diff + STLFSI4_diff,-0.006256339167702341,0.03513547490292451,STLFSI4_diff,0.013171291629007969,0.0025219907091903228,0.22280735016758613,0.14508808518434468,23.0
Pre-GFC,VXY-EM + STLFSI4,dollar_log_return,vxy_em_diff + STLFSI4_diff,-0.007150979748336431,3.957154516100089e-12,STLFSI4_diff,0.009971062885206362,0.00042823352037713004,0.39805591571307897,0.3378615072843868,23.0
Pre-GFC,VIX + GEPU,dollar_log_return,vix_diff + gepu_diff,-0.0007171608685450528,0.39850665265120355,gepu_diff,0.00030727285811908857,0.005525504393529193,0.23545049809175023,0.15899554790092518,23.0
Pre-GFC,VXY-G7 + GEPU,dollar_log_return,vxy_g7_diff + gepu_diff,-0.004087340317132515,0.12899346934148398,gepu_diff,0.0004217473658657151,0.0003387711882073444,0.3003988859267911,0.23043877451947015,23.0
Pre-GFC,VXY-EM + GEPU,dollar_log_return,vxy_em_diff + gepu_diff,-0.005523715680407219,3.7879679318493706e-06,gepu_diff,0.00032080822571638347,0.0006999678290905195,0.41651268751470294,0.35816395626617314,23.0
GFC,VIX + STLFSI4,dollar_log_return,vix_diff + STLFSI4_diff,0.0011569147954874743,0.00700075436616001,STLFSI4_diff,0.005319576538942817,0.04475450184514385,0.44684844603169527,0.39416734565376144,24.0
GFC,VXY-G7 + STLFSI4,dollar_log_return,vxy_g7_diff + STLFSI4_diff,-0.0005698619416445612,0.7586262218916071,STLFSI4_diff,0.010758897341972041,0.000676336389297508,0.36734041867655554,0.30708712521717985,24.0
GFC,VXY-EM + STLFSI4,dollar_log_return,vxy_em_diff + STLFSI4_diff,0.00492817265430987,0.12172056105930701,STLFSI4_diff,0.000879200413246,0.8891759998550629,0.44719210425948885,0.394543733236583,24.0
GFC,VIX + GEPU,dollar_log_return,vix_diff + gepu_diff,0.0022169664893721525,0.0003747469752914469,gepu_diff,-0.00017682629378993432,0.20229118292721937,0.4232424103574439,0.3683131161057719,24.0
GFC,VXY-G7 + GEPU,dollar_log_return,vxy_g7_diff + gepu_diff,0.005933094810440938,0.04323544590236504,gepu_diff,-0.00015318621806949202,0.4266391406903094,0.27444023183238175,0.2053393015307038,24.0
GFC,VXY-EM + GEPU,dollar_log_return,vxy_em_diff + gepu_diff,0.005755739883072214,2.183927076313807e-05,gepu_diff,-8.988221121877506e-05,0.4068771252728238,0.4559901803158287,0.4041797212982885,24.0
Post-GFC / pre-COVID,VIX + STLFSI4,dollar_log_return,vix_diff + STLFSI4_diff,0.00015966497098253562,0.40775891503328765,STLFSI4_diff,0.017961389412348927,0.0007171881986940761,0.15190975061598522,0.1374124813957457,120.0
Post-GFC / pre-COVID,VXY-G7 + STLFSI4,dollar_log_return,vxy_g7_diff + STLFSI4_diff,0.0023858077065070944,0.06338008960865676,STLFSI4_diff,0.015104857169465013,0.007587154738162769,0.17787985698779551,0.16382652120980912,120.0
Post-GFC / pre-COVID,VXY-EM + STLFSI4,dollar_log_return,vxy_em_diff + STLFSI4_diff,0.003411787504815024,7.55279952328661e-06,STLFSI4_diff,0.010999843208580605,0.03465866851255743,0.25560912562129945,0.24288449529003964,120.0
Post-GFC / pre-COVID,VIX + GEPU,dollar_log_return,vix_diff + gepu_diff,0.0006430491937594576,0.001357967528808176,gepu_diff,4.403909464009783e-05,0.06122122598481868,0.07130112591718685,0.0554259314884209,120.0
Post-GFC / pre-COVID,VXY-G7 + GEPU,dollar_log_return,vxy_g7_diff + gepu_diff,0.003936207512064008,0.0002470384712921252,gepu_diff,2.759635892556317e-05,0.2017335370785781,0.11191171351304652,0.0967307171628422,120.0
Post-GFC / pre-COVID,VXY-EM + GEPU,dollar_log_return,vxy_em_diff + gepu_diff,0.0042574084976337995,1.281347650121164e-10,gepu_diff,2.4797366967025204e-05,0.24380872033460577,0.22254531766839614,0.20925549403879606,120.0
COVID period,VIX + STLFSI4,dollar_log_return,vix_diff + STLFSI4_diff,-0.00020559734563931282,0.3939083555666425,STLFSI4_diff,0.007901901567909314,1.3387179676492284e-21,0.29453533199541715,0.22734822075688532,24.0
COVID period,VXY-G7 + STLFSI4,dollar_log_return,vxy_g7_diff + STLFSI4_diff,-0.0036179395048675294,0.2566060341435896,STLFSI4_diff,0.010078125453678961,7.772029093801199e-07,0.32094746958901277,0.25627580002606154,24.0
COVID period,VXY-EM + STLFSI4,dollar_log_return,vxy_em_diff + STLFSI4_diff,0.003454685898023985,0.010056368465812312,STLFSI4_diff,0.003873090677768254,0.013346282661547589,0.3106425094010654,0.24498941505830962,24.0
COVID period,VIX + GEPU,dollar_log_return,vix_diff + gepu_diff,0.0002467358607725336,0.19624319183932581,gepu_diff,0.0001374297758955454,0.0015179559232676835,0.3158174641917444,0.25065722268619617,24.0
COVID period,VXY-G7 + GEPU,dollar_log_return,vxy_g7_diff + gepu_diff,0.0024325564834499396,0.16999465522734747,gepu_diff,0.00012919350102620793,0.001610064571398695,0.3285390566513846,0.2645903953800879,24.0
COVID period,VXY-EM + GEPU,dollar_log_return,vxy_em_diff + gepu_diff,0.004714438096284775,0.00019792709385126745,gepu_diff,0.00010358332299716401,0.0005358538254480223,0.43511010168288267,0.381311063747919,24.0
Post-COVID / geopolitical,VIX + STLFSI4,dollar_log_return,vix_diff + STLFSI4_diff,-6.857471870316177e-05,0.8146937246256284,STLFSI4_diff,0.01476616794092702,0.023462491077447353,0.09245634352826848,0.052121069907302586,48.0
